Ethnic_Group,Departamento,TOWN (MUNICIPIO),CABECERAS  Y CENTROS POBLADOS (TOWNSHIPS AND MICROTOWNSHIPS),NAME OF THE COMMUNITY COUNCIL OR RESERVATION,NAME OF THE PEOPLE,RECOGNITION RESOLUTION,RECOGNITION DATE,LAND TITLE SITUATION,SOURCE (PUBLIC OFFICE OFFERS INFO),TITLING RESOLUTION,DATE TITLED,NUMBER OF FAMILIES,AREA (blocks?),NUMBER OF PEOPLE(CAN THIS BE CONNECTED WITH CENSUS?),,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,BAYUNCA,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,PONTEZUELA ,ALIANZA CAMPOALEGRE,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,PUNTA CANOA,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,TIERRABAJA,Consejo Comunitario Comunidad Negra de Tierrabaja Mi Territorio,NOT INFORMED,NOT INFORMED,NOT INFORMED,TITLED,ANT,369,29/11/2016,357,21.2367,1184,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,TIERRABOMBA,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,VILLAGLORIA,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,"ANT, DACNARP",,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,ISLA FUERTE,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,ISLAS DEL ROSARIO,ORIKA,NOT INFORMED,NOT INFORMED,NOT INFORMED,TITLED,ANT,3393,8/5/2014,319,100.576,1095,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,ISLOTE DE SAN BERNARDO,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,LETICIA,Consejo Comunitario Comunidad Negra de,NOT INFORMED,NOT INFORMED,NOT INFORMED,REQUESTED,ANT,,,,,,,,,,
AFRO,BOLIVAR,CARTAGENA DE INDIAS,,,NOT INFORMED,NOT INFORMED,NOT INFORMED,NOT REQUESTED OR REQUEST LOST,DACNARP,,,,,,,,,,
