Ethnic_Group,Departamento,TOWN (MUNICIPIO),CABECERAS  Y CENTROS POBLADOS (TOWNSHIPS AND MICROTOWNSHIPS),NAME OF THE COMMUNITY COUNCIL OR RESERVATION,NAME OF THE PEOPLE,RECOGNITION RESOLUTION,RECOGNITION DATE,LAND TITLE SITUATION,SOURCE (PUBLIC OFFICE OFFERS INFO),TITLING RESOLUTION,DATE TITLED,NUMBER OF FAMILIES,AREA (blocks?),NUMBER OF PEOPLE(CAN THIS BE CONNECTED WITH CENSUS?),,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,NUEVA FORTUNA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,NUEVA VICTORIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,PARAISO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,PETACA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SAN FRANCISCO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SAN ISIDRO 1,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SAN ISIDRO 2,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SAN JUAN DE LA CRUZ,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SANTA ISABEL NORTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SANTA ISABEL SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,TOLIMA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,VENECIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,VIDALITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SAN ANTONIO DE TACHIRA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,LOS VENADOS,LOS VENADOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SAN BENITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,ARROYO DEL MEDIO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SAN GREGORIO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SAN JOSE CERRO MOHAN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SAN JOSE LA JULIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SAN JUAN DE LAS PALMAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SANTA CRUZ DE LORICA,SANTA CRUZ DE LORICA URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SANTANDER DE LA CRUZ,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,SANTERO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SITIONUEVO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SITIONUEVO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,TAMARINDO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,SAN ANDRES DE SOTAVENTO,TAMBOR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,TREMENTINO,TREMENTINO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,TUCHIN URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SAN ANTERO URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,VENECIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,VILLA FATIMA,VILLA FATIMA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,PUENTE URE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,ALMENDRO,ALMENDRO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,LOMA DE PIEDRA,LOMA DE PIEDRA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,PROVIDENCIA,PROVIDENCIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,PURISIMA,PURISIMA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SAN ANDRES DE SOTAVENTO URBANO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,ALTA RIVERA ROMA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,BAJO NORTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,BAJO PALMITAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,EL BRILLANTE NORTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,CALLE LARGA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,EL CONTENTO,EL CONTENTO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,EL BANCO,EL BANCO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,EL MAMON,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,EL PEINE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,LOS GAVIRIA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,PALMAS VERDES,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,PALMITO SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,PATIOBONITO NORTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,PATIOBONITO SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,PLAZA BONITA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,BELLAVISTA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,CALLE DEL MEDIO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,CARRETAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,CASTILLERAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,CERRO DE PAJA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,CRUZ CHIQUITA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,EL PINAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,LOVERAN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,MATA DE CANA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,NUEVA ESPERANZA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,NUEVA ESTACION,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,NUEVA ESTRELLA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANDRES DE SOTAVENTO,,SABANA COSTA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANTERO,,EL ROSARIO DE PLAZA BONITA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANTERO,,EL REDENTOR DEL MARANONAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANTERO,,SAN JUAN DE DIOS DE LAS PELONAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANTERO,SAN ANDRES DE SOTAVENTO,SABANA COSTA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN ANTERO,SAN ANDRES DE SOTAVENTO,SITIOVIEJO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,SAN ANDRES DE SOTAVENTO,COROZALITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,SAN ANDRES DE SOTAVENTO,BOCA DE CATABRE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,SAN ANDRES DE SOTAVENTO,SANTO DOMINGO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,SAN ANDRES DE SOTAVENTO,PIMENTAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,SAN ANDRES DE SOTAVENTO,LAS MARIAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,SAN ANDRES DE SOTAVENTO,PUNTA VERDE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,SAN ANDRES DE SOTAVENTO,CAROLINA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,SAN JOSE DE URE,,LOS ANGELES,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA,,CAFE PISAO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,SAN CARLOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,TRES MARIA,TRES MARIAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,MARTIN ROQUEME,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,TUCHINCITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,TEVIS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,PUNTA VERDE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,UNION MATOSO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,CANAVERAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,EL MAIZAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,SAN SEBASTIAN,FINZENU DE SAN SEBASTIAN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,San Nicolás De Barí,San Nicolás De Barí,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,EL VOLAO-LAS ESTANCIAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,NUEVO CAMPOALEGRE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,EL CAMPANO DE LOS INDIOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,EL CARITO,EL CARITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,VEREDA NUEVA ESPERANZA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,EL TIGRE,EL TIGRE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,Raicero,Raicero,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,LOS ALGARROBOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,TERMOELECTRICA,TERMOELECTRICA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,PAJONAL,SAN MATEO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,CHORRILLO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,SANTA ROSA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,NUEVO ORIENTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,BECARPIGAR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,SANTA CLARA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,EL PORVENIR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,LAS PALOMAS EL OLIVO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TIERRALTA ITUANGO,,PISA BONITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,NUEVA VIDA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,LA LAGUNA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,PIJIGUAY,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,BELEN,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,EL CARMEN DE PETACA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,EL BRILLANTE LA BALASTRERA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ANDES NORTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,GUAYACANES NORTE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,EL ROBLE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,CERRITO DE TAMARINDO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ARAUCA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,SANTO DOMINGO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,MOMPOX,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,CARINITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,CUATRO VIENTOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,PLAZA BONITA CUATRO CAMINOS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,SABANA NUEVA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,SABANAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,MAJAGUAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,TIERRA ALTICA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,LAS PENITAS,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,EL MANGUITO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,VILLANUEVA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,NUEVO PARAISO LA BALASTRERA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,CENTRO ALEGRE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ZENU DEL ALTO SAN JORGE,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ZENU DEL ALTO SAN JORGE-BUENAVISTA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ZENU DEL ALTO SAN JORGE-BUENOS AIRES GILGAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ZENU DEL ALTO SAN JORGE- SAN PEDRO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ZENU DEL ALTO SAN JORGE-SAN ANTONIO BAJO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ZENU DEL ALTO SAN JORGE-META TERRITORIAL,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ZENU DEL ALTO SAN JORGE-sAN ANTONIO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,ALTO SANTANA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,BAJO DE LATA,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,BOCA DE JARRO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,BUENOS AIRES SUR,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,CRUZ DE MAYO,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,EL CHARCON,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
INDIGENA,CORDOBA,TUCHIN,,EL DIVIDIVI,ZENU,NOT INFORMED,NOT INFORMED,Information request unanswered,DAIRM,,,,,,,,,,
